ResponseId	Moral_DIL	Age_correct	Attention_check	CCA	Duration	Heure_TOT	AOT_TOT	Narc_TOT	Mach_TOT	Psych_TOT	CRT_TOT	Num_TOT	Outcome	Study	Duration.min	Moral_SCA	Moral_CAR	SleepEfficiency.criteria
60_S1	53.93	1	1	1	397	12.5333333333333	34	21	33	27	5	2	Dilemmas	1	200			
61_S1	32.35	1	1	1	709	12.5666666666667	31	18	33	27	6	3	Dilemmas	1	200			
62_S1	0	1	1	1	1151	12.5833333333333	40	17	24	13	6	2	Dilemmas	1	200			
63_S1	82.7	1	1	1	949	12.6166666666667	22	26	23	20	6	3	Dilemmas	1	200			
64_S1	64.26	1	1	1	438	12.6666666666667	35	20	31	19	6	2	Dilemmas	1	200			
65_S1	52.06	1	1	1	447	12.6666666666667	31	23	23	11	6	3	Dilemmas	1	200			
66_S1	85.79	1	1	1	1579	12.6666666666667	17	26	38	27	7	2	Dilemmas	1	200			
67_S1	57.24	1	1	1	811	11.7	28	10	30	19	6	3	Dilemmas	1	200			
68_S1	8.69	1	1	1	386	11.7333333333333	37	34	24	14	2	2	Dilemmas	1	200			
69_S1	78.42	1	1	1	2688	12.7333333333333	22	30	33	26	5	0	Dilemmas	1	200			
70_S1	58.09	1	1	1	628	12.7333333333333	25	21	33	23	5	2	Dilemmas	1	200			
71_S1	53.28	1	1	1	689	12.7333333333333	33	21	23	15	3	2	Dilemmas	1	200			
72_S1	110	1	1	1	599	12.7333333333333	30	41	37	18	5	3	Dilemmas	1	200			
73_S1	69.74	1	1	1	659	12.7666666666667	29	23	12	18	3	0	Dilemmas	1	200			
74_S1	77.67	1	1	1	496	9.76666666666667	31	19	20	15	5	2	Dilemmas	1	200			
75_S1	110	1	1	1	462	11.8	25	27	28	20	6	2	Dilemmas	1	200			
76_S1	65.25	1	1	1	602	12.75	36	19	32	20	6	3	Dilemmas	1	200			
77_S1	15	1	1	1	831	11.8	24	33	34	31	1	2	Dilemmas	1	200			
78_S1	14.26	1	1	1	483	9.8	22	27	28	30	2	1	Dilemmas	1	200			
79_S1	70.57	1	1	1	1427	12.8333333333333	24	27	31	25	4	1	Dilemmas	1	200			
80_S1	74.94	1	1	1	447	10	29	33	29	24	1	2	Dilemmas	1	200			
81_S1	40	1	1	1	882	12.9666666666667	24	29	28	18	3	1	Dilemmas	1	200			
82_S1	60	1	1	1	392	13	40	21	43	22	4	2	Dilemmas	1	200			
83_S1	36.63	1	1	1	452	10	32	18	21	22	6	2	Dilemmas	1	200			
84_S1	64.75	1	1	1	485	10.0333333333333	32	29	30	13	6	3	Dilemmas	1	200			
85_S1	12.69	1	1	1	534	13.0666666666667	35	17	19	19	1	3	Dilemmas	1	200			
87_S1	33.73	1	1	1	695	12.0666666666667	27	22	27	26	6	3	Dilemmas	1	200			
88_S1	51.47	1	1	1	426	10.0833333333333	25	35	31	39	4	1	Dilemmas	1	200			
89_S1	36.07	1	1	1	1023	13.1166666666667	23	21	19	11	0	1	Dilemmas	1	200			
90_S1	62.02	1	1	1	285	13	25	24	22	25	7	3	Dilemmas	1	200			
91_S1	68.18	1	1	1	1011	12.1666666666667	35	18	26	12	7	3	Dilemmas	1	200			
92_S1	25.08	1	1	1	972	12.1666666666667	32	21	19	10	7	3	Dilemmas	1	200			
93_S1	80.42	1	1	1	312	13	38	11	30	15	7	3	Dilemmas	1	200			
94_S1	16.95	1	1	1	495	13.2666666666667	35	22	31	20	5	2	Dilemmas	1	200			
95_S1	62.84	1	1	1	740	13.3	35	36	25	18	5	2	Dilemmas	1	200			
96_S1	18.38	1	1	1	1657	10	31	22	33	16	2	3	Dilemmas	1	200			
97_S1	27.78	1	1	1	1540	13.5	38	12	11	13	7	3	Dilemmas	1	200			
98_S1	73.56	1	1	1	400	13	24	29	37	31	1	0	Dilemmas	1	200			
99_S1	11.17	1	1	1	368	11.5	30	28	33	25	7	3	Dilemmas	1	200			
100_S1	76.53	1	1	1	1818	13.6666666666667	29	22	30	20	6	3	Dilemmas	1	200			
101_S1	34.07	1	1	1	283	12.9166666666667	34	22	35	9	7	2	Dilemmas	1	200			
102_S1	12.89	1	1	1	422	12.0833333333333	30	15	25	15	6	3	Dilemmas	1	200			
103_S1	0	1	1	1	643	14	34	22	16	11	6	2	Dilemmas	1	200			
104_S1	69.87	1	1	1	669	13	32	19	24	16	3	3	Dilemmas	1	200			
105_S1	0	1	1	1	640	14.3833333333333	33	29	31	17	6	2	Dilemmas	1	200			
106_S1	11.44	1	1	1	369	11.0666666666667	27	20	24	21	4	3	Dilemmas	1	200			
107_S1	70.09	1	1	1	369	9.16666666666667	25	27	37	29	1	0	Dilemmas	1	200			
108_S1	72.84	1	1	1	484	12.2	33	26	22	18	4	1	Dilemmas	1	200			
109_S1	55	1	1	1	799	12.2166666666667	33	32	32	23	3	3	Dilemmas	1	200			
110_S1	39.05	1	1	1	458	12	40	14	30	18	6	3	Dilemmas	1	200			
111_S1	52.81	1	1	1	653	10.3666666666667	24	19	25	25	3	3	Dilemmas	1	200			
112_S1	98.18	1	1	1	461	11.4333333333333	35	12	23	20	5	3	Dilemmas	1	200			
113_S1	66.25	1	1	1	478	9.45	39	12	32	15	7	3	Dilemmas	1	200			
114_S1	89.9	1	1	1	898	12.5	36	23	30	19	5	2	Dilemmas	1	200			
115_S1	54.72	1	1	1	537	12.4666666666667	28	18	34	28	5	1	Dilemmas	1	200			
116_S1	51.26	1	1	1	505	12.5833333333333	35	23	31	25	6	3	Dilemmas	1	200			
117_S1	59.19	1	1	1	309	9.61666666666667	20	29	27	27	1	0	Dilemmas	1	200			
118_S1	43.77	1	1	1	1471	10.6833333333333	27	23	35	18	5	3	Dilemmas	1	200			
119_S1	96.55	1	1	1	656	8.75	32	22	29	29	7	2	Dilemmas	1	200			
120_S1	54.37	1	1	1	683	12.8166666666667	33	20	21	14	6	2	Dilemmas	1	200			
121_S1	19.61	1	1	1	750	12.85	29	20	31	18	0	3	Dilemmas	1	200			
122_S1	5.8	1	1	1	520	13.5333333333333	36	16	26	14	7	3	Dilemmas	1	200			
123_S1	34.4	1	1	1	2378	13.6833333333333	24	31	29	24	6	2	Dilemmas	1	200			
124_S1	74.64	1	1	1	459	12.7166666666667	25	34	34	21	4	0	Dilemmas	1	200			
1_S2		1	1	1	165	12	23	18	20	18	4	3	Scale	2	150	33		
2_S2		1	1	1	214	12.25	24	25	26	30	6	1	Scale	2	150	31		
3_S2		1	1	1	180	12.25	26	14	39	21	2	0	Scale	2	150	28		
4_S2		1	1	1	261	11.2666666666667	32	37	24	10	6	3	Scale	2	150	28		
5_S2		1	1	1	280	9.26666666666667	24	31	38	28	0	0	Scale	2	150	33		
6_S2		1	1	1	267	12	33	18	23	18	6	2	Scale	2	150	41		
7_S2		1	1	1	298	11.2833333333333	29	12	25	14	5	3	Scale	2	150	33		
8_S2		1	1	1	318	12.2833333333333	39	18	40	13	7	3	Scale	2	150	40		
9_S2		1	1	1	388	11	25	28	25	25	6	2	Scale	2	150	29		
10_S2		1	1	1	365	11.3	40	16	9	15	7	3	Scale	2	150	35		
11_S2		1	1	1	405	12	30	19	23	13	6	2	Scale	2	150	33		
12_S2		1	1	1	442	12.3166666666667	23	22	33	37	0	3	Scale	2	150	33		
13_S2		1	1	1	333	9.33333333333333	32	20	27	16	5	3	Scale	2	150	38		
15_S2		1	1	1	430	9.33333333333333	37	13	24	15	6	3	Scale	2	150	35		
16_S2		1	1	1	445	10.3333333333333	39	19	26	22	7	3	Scale	2	150	27		
17_S2		1	1	1	498	11.3333333333333	30	17	32	11	2	0	Scale	2	150	46		
18_S2		1	1	1	164	12.3333333333333	24	36	38	31	6	3	Scale	2	150	35		
19_S2		1	1	1	540	12.35	25	31	26	25	4	3	Scale	2	150	31		
20_S2		1	1	1	339	12.35	27	21	9	9	4	0	Scale	2	150	39		
21_S2		1	1	1	570	11.35	36	19	32	13	7	2	Scale	2	150	32		
22_S2		1	1	1	439	9.35	31	28	30	17	5	2	Scale	2	150	40		
23_S2		1	1	1	150	9	26	33	35	32	4	1	Scale	2	150	29		
24_S2		1	1	1	338	9.36666666666667	26	27	31	26	1	0	Scale	2	150	30		
25_S2		1	1	1	510	12.3666666666667	37	11	18	12	4	3	Scale	2	150	47		
26_S2		1	1	1	172	11	31	28	37	33	2	2	Scale	2	150	32		
27_S2		1	1	1	765	10.4	27	34	33	19	0	1	Scale	2	150	35		
28_S2		1	1	1	291	9.33333333333333	24	30	37	30	2	0	Scale	2	150	31		
29_S2		1	1	1	361	9.43333333333333	34	27	30	22	1	1	Scale	2	150	42		
31_S2		1	1	1	372	12.4333333333333	25	32	32	32	2	0	Scale	2	150	33		
32_S2		1	1	1	116	12.45	24	21	9	17	1	0	Scale	2	150	34		
33_S2		1	1	1	384	12.4666666666667	35	10	19	14	1	3	Scale	2	150	39		
34_S2		1	1	1	383	12.5	35	15	18	17	4	3	Scale	2	150	36		
35_S2		1	1	1	254	12	35	13	15	15	7	2	Scale	2	150	19		
36_S2		1	1	1	217	12.5	24	27	27	27	1	3	Scale	2	150	31		
37_S2		1	1	1	511	11.5	31	15	25	15	7	2	Scale	2	150	37		
38_S2		1	1	1	323	11.5	29	17	33	13	7	3	Scale	2	150	38		
39_S2		1	1	1	357	10	25	18	9	23	6	1	Scale	2	150	39		
40_S2		1	1	1	495	9.51666666666667	30	18	27	23	4	1	Scale	2	150	31		
41_S2		1	1	1	348	10	24	33	38	32	0	0	Scale	2	150	33		
42_S2		1	1	1	369	12.5666666666667	25	29	38	30	1	1	Scale	2	150	31		
43_S2		1	1	1	519	12.6666666666667	26	34	26	23	1	3	Scale	2	150	32		
44_S2		1	1	1	1093	11.5833333333333	28	36	31	31	2	3	Scale	2	150	38		
45_S2		1	1	1	406	9.6	27	23	29	25	3	3	Scale	2	150	36		
46_S2		1	1	1	387	11.6166666666667	22	14	28	13	0	1	Scale	2	150	33		
47_S2		1	1	1	707	12.6333333333333	27	28	39	32	4	2	Scale	2	150	31		
48_S2		1	1	1	673	12.65	37	15	25	22	5	1	Scale	2	150	40		
49_S2		1	1	1	438	9.65	33	16	25	27	6	3	Scale	2	150	39		
50_S2		1	1	1	631	12.65	30	33	32	24	6	3	Scale	2	150	34		
